transaction_id,customer_id,product_id,quantity,transaction_date,payment_method,price,total_price
TRANS00000,CUST0992,PROD0484,1,2024-10-19 21:52:58.385271,Credit Card,858.66,858.66
TRANS00001,CUST0714,PROD0188,1,2024-09-29 21:52:58.385294,Debit Card,811.58,811.58
TRANS00002,CUST0073,PROD0359,2,2025-06-08 21:52:58.385300,Credit Card,614.01,1228.02
TRANS00003,CUST0536,PROD0294,2,2025-06-23 21:52:58.385306,Credit Card,680.77,1361.54
TRANS00004,CUST0100,PROD0182,1,2024-10-26 21:52:58.385312,Credit Card,411.37,411.37
TRANS00005,CUST0175,PROD0351,1,2025-06-04 21:52:58.385316,Debit Card,361.28,361.28
TRANS00006,CUST0426,PROD0035,2,2025-01-28 21:52:58.385319,Debit Card,987.46,1974.92
TRANS00007,CUST0116,PROD0369,1,2024-08-11 21:52:58.385324,Boleto,292.77,292.77
TRANS00008,CUST0165,PROD0036,1,2025-01-29 21:52:58.385329,Debit Card,449.66,449.66
TRANS00009,CUST0040,PROD0495,2,2024-09-17 21:52:58.385333,Bank Transfer,318.94,637.88
TRANS00010,CUST0428,PROD0013,2,2025-06-21 21:52:58.385337,Debit Card,782.02,1564.04
TRANS00011,CUST0343,PROD0410,3,2025-01-18 21:52:58.385340,Debit Card,23.72,71.16
TRANS00012,CUST0423,PROD0122,4,2025-02-17 21:52:58.385344,Credit Card,361.18,1444.72
TRANS00013,CUST0365,PROD0082,2,2025-03-06 21:52:58.385347,Credit Card,692.42,1384.84
TRANS00014,CUST0119,PROD0158,2,2025-02-24 21:52:58.385350,Debit Card,402.35,804.7
TRANS00015,CUST0608,PROD0493,2,2025-02-03 21:52:58.385353,Credit Card,515.46,1030.92
TRANS00016,CUST0656,PROD0328,4,2025-04-07 21:52:58.385357,Debit Card,678.7,2714.8
TRANS00017,CUST0727,PROD0101,3,2025-05-15 21:52:58.385360,Debit Card,768.86,2306.58
TRANS00018,CUST0228,PROD0336,1,2025-04-15 21:52:58.385365,Bank Transfer,216.23,216.23
TRANS00019,CUST0824,PROD0082,4,2024-12-22 21:52:58.385371,Boleto,692.42,2769.68
TRANS00020,CUST0129,PROD0043,2,2024-09-09 21:52:58.385374,Credit Card,312.69,625.38
TRANS00021,CUST0351,PROD0067,2,2025-05-06 21:52:58.385378,Credit Card,963.85,1927.7
TRANS00022,CUST0888,PROD0047,3,2025-05-18 21:52:58.385381,Debit Card,322.09,966.27
TRANS00023,CUST0317,PROD0056,3,2025-06-18 21:52:58.385384,Credit Card,504.96,1514.8799999999999
TRANS00024,CUST0983,PROD0074,3,2025-06-28 21:52:58.385387,Credit Card,114.43,343.29
TRANS00025,CUST0648,PROD0021,1,2025-05-05 21:52:58.385391,Bank Transfer,852.64,852.64
TRANS00026,CUST0835,PROD0131,4,2024-07-25 21:52:58.385394,Boleto,70.83,283.32
TRANS00027,CUST0336,PROD0464,4,2024-11-13 21:52:58.385397,Debit Card,206.65,826.6
TRANS00028,CUST0272,PROD0455,3,2024-09-07 21:52:58.385401,Debit Card,214.75,644.25
TRANS00029,CUST0116,PROD0301,1,2024-08-27 21:52:58.385404,Credit Card,784.6,784.6
TRANS00030,CUST0817,PROD0442,4,2025-04-21 21:52:58.385407,Debit Card,976.8,3907.2
TRANS00031,CUST0367,PROD0417,2,2024-07-23 21:52:58.385410,Credit Card,887.31,1774.62
TRANS00032,CUST0093,PROD0266,2,2025-01-15 21:52:58.385414,Debit Card,253.39,506.78
TRANS00033,CUST0167,PROD0286,2,2025-01-01 21:52:58.385417,Credit Card,603.37,1206.74
TRANS00034,CUST0953,PROD0394,4,2024-11-15 21:52:58.385420,Boleto,276.11,1104.44
TRANS00035,CUST0714,PROD0119,3,2024-08-23 21:52:58.385424,Debit Card,661.52,1984.56
TRANS00036,CUST0340,PROD0245,2,2025-03-21 21:52:58.385429,Debit Card,80.44,160.88
TRANS00037,CUST0660,PROD0055,3,2025-04-26 21:52:58.385434,Boleto,874.13,2622.39
TRANS00038,CUST0913,PROD0037,1,2024-11-12 21:52:58.385438,Credit Card,536.55,536.55
TRANS00039,CUST0694,PROD0244,2,2024-11-25 21:52:58.385441,Credit Card,71.42,142.84
TRANS00040,CUST0924,PROD0020,1,2024-07-17 21:52:58.385444,Bank Transfer,544.9,544.9
TRANS00041,CUST0151,PROD0109,3,2025-02-14 21:52:58.385448,Boleto,935.38,2806.14
TRANS00042,CUST0585,PROD0093,4,2024-10-18 21:52:58.385451,Debit Card,198.04,792.16
TRANS00043,CUST0876,PROD0393,3,2025-06-12 21:52:58.385454,Credit Card,188.98,566.9399999999999
TRANS00044,CUST0912,PROD0409,2,2024-12-16 21:52:58.385457,Debit Card,813.75,1627.5
TRANS00045,CUST0273,PROD0474,2,2024-12-18 21:52:58.385460,Credit Card,345.85,691.7
TRANS00046,CUST0553,PROD0135,3,2025-02-28 21:52:58.385464,Debit Card,955.02,2865.06
TRANS00047,CUST0495,PROD0230,2,2025-01-09 21:52:58.385467,Credit Card,89.3,178.6
TRANS00048,CUST0723,PROD0007,2,2024-09-20 21:52:58.385470,Boleto,833.2,1666.4
TRANS00049,CUST0100,PROD0443,1,2024-11-07 21:52:58.385473,Credit Card,649.15,649.15
TRANS00050,CUST0556,PROD0327,4,2025-02-17 21:52:58.385476,Bank Transfer,143.87,575.48
TRANS00051,CUST0081,PROD0374,3,2024-08-10 21:52:58.385480,Credit Card,182.67,548.01
TRANS00052,CUST0528,PROD0289,1,2024-12-10 21:52:58.385483,Credit Card,399.22,399.22
TRANS00053,CUST0072,PROD0250,2,2025-04-26 21:52:58.385487,Boleto,960.19,1920.38
TRANS00054,CUST0013,PROD0399,1,2025-01-08 21:52:58.385490,Credit Card,592.11,592.11
TRANS00055,CUST0432,PROD0360,4,2024-11-25 21:52:58.385493,Debit Card,493.3,1973.2
TRANS00056,CUST0156,PROD0396,3,2025-01-22 21:52:58.385496,Credit Card,254.39,763.17
TRANS00057,CUST0734,PROD0086,4,2024-11-27 21:52:58.385500,Debit Card,898.96,3595.84
